,userid,singer
0,00001411dc427966b17297bf4d69e7e193135d89,coldplay
1,00001411dc427966b17297bf4d69e7e193135d89,arcade fire
2,00001411dc427966b17297bf4d69e7e193135d89,mgmt
3,000532f6886f086f61037acd896828f0b5b36bf2,arctic monkeys
4,000532f6886f086f61037acd896828f0b5b36bf2,pink floyd
5,000532f6886f086f61037acd896828f0b5b36bf2,coldplay
6,000532f6886f086f61037acd896828f0b5b36bf2,pixies
7,0016eb9d99dfafe22564d990cc5676f6edd463ba,moonspell
8,0016eb9d99dfafe22564d990cc5676f6edd463ba,samael
9,0016eb9d99dfafe22564d990cc5676f6edd463ba,apocalyptica
10,001a11b6b9a82c4bec0b1e1e472067a8d14feab7,bloc party
11,001a11b6b9a82c4bec0b1e1e472067a8d14feab7,nightwish
12,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,jack johnson
13,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,bloodhound gang
14,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,panic at the disco
15,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,the killers
16,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,fall out boy
17,0024f5bef7725cefb06a4ee1cd32d5c271c725e5,bon jovi
18,00277ccecc376837e57b6d6b58330d1bafc90c73,ramones
19,00277ccecc376837e57b6d6b58330d1bafc90c73,the rolling stones
20,00277ccecc376837e57b6d6b58330d1bafc90c73,john mayer
21,00277ccecc376837e57b6d6b58330d1bafc90c73,oasis
22,00277ccecc376837e57b6d6b58330d1bafc90c73,blink-182
23,002f4a28dc0be2098878e14d2928601c87bf3552,:wumpscut:
24,0033ee7378661b88b245b1f67cc622ff63a51061,frédéric chopin
25,00370c033122714d432ce07fd769157823ea6c20,maroon 5
26,00370c033122714d432ce07fd769157823ea6c20,the prodigy
27,00370c033122714d432ce07fd769157823ea6c20,venetian snares
28,00370c033122714d432ce07fd769157823ea6c20,the crystal method
29,00458c96257bab27657adca90732ecc4904300de,cat stevens
30,00458c96257bab27657adca90732ecc4904300de,muse
31,00489b25aafa16486bc0b5521fe001f46cc55b34,the cardigans
32,00489b25aafa16486bc0b5521fe001f46cc55b34,aesop rock
33,00489b25aafa16486bc0b5521fe001f46cc55b34,counting crows
34,00489b25aafa16486bc0b5521fe001f46cc55b34,the chemical brothers
35,0048e6248eb5102215312fada768a4cddcd6ca54,nightwish
36,0048e6248eb5102215312fada768a4cddcd6ca54,garbage
37,0048e6248eb5102215312fada768a4cddcd6ca54,sublime
38,004db065059f186f3a7b3d5a14158921a6ca8d2b,evanescence
39,004db065059f186f3a7b3d5a14158921a6ca8d2b,combichrist
40,00529a4760520df57305d20b5c48baeea4718b71,the sounds
41,00529a4760520df57305d20b5c48baeea4718b71,the knife
42,00529a4760520df57305d20b5c48baeea4718b71,bad religion
43,00529a4760520df57305d20b5c48baeea4718b71,madonna
44,00529a4760520df57305d20b5c48baeea4718b71,the hellacopters
45,005e210bebe430171a0dbef1741a022226e438b9,limp bizkit
46,005e210bebe430171a0dbef1741a022226e438b9,marilyn manson
47,00603ee51c3ceb6fd1e479c20dd78f60be10196c,motörhead
48,00603ee51c3ceb6fd1e479c20dd78f60be10196c,propagandhi
49,00603ee51c3ceb6fd1e479c20dd78f60be10196c,dream theater
50,0060a50a536692e9a3d0c648c60889d3fd09cc56,nofx
51,0060a50a536692e9a3d0c648c60889d3fd09cc56,ramones
52,006261139d787c1e43b4c69d304f2772367c1005,metric
53,006261139d787c1e43b4c69d304f2772367c1005,lily allen
54,006261139d787c1e43b4c69d304f2772367c1005,ben harper
55,006261139d787c1e43b4c69d304f2772367c1005,pearl jam
56,0071c5791fa790248800436c29fd8d3627e1694a,emery
57,0071c5791fa790248800436c29fd8d3627e1694a,good charlotte
58,0071c5791fa790248800436c29fd8d3627e1694a,the ataris
59,0071c5791fa790248800436c29fd8d3627e1694a,fall out boy
60,0071c5791fa790248800436c29fd8d3627e1694a,the strokes
61,00857141f325e9dde1e813c3514b92d3ae6b1530,from autumn to ashes
62,00857141f325e9dde1e813c3514b92d3ae6b1530,stone sour
63,00857141f325e9dde1e813c3514b92d3ae6b1530,lostprophets
64,008eba7fbe597f0754b617e7ff53f157003086a5,coheed and cambria
65,008eba7fbe597f0754b617e7ff53f157003086a5,2pac
66,008eba7fbe597f0754b617e7ff53f157003086a5,foo fighters
